Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism					
Name=SSU_ribosomal_protein_S21p	K02970	Smlt0444	fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16	Ribosome			Protein Metabolism	Protein biosynthesis	Ribosome SSU bacterial	SSU ribosomal protein S21p
Name=SSU_ribosomal_protein_S21p	K02970	Smlt0444	fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16	Ribosome			Cell Division and Cell Cycle	Cell Division and Cell Cycle - no subcategory	Macromolecular synthesis operon	SSU ribosomal protein S21p
Name=INTEGRAL_MEMBRANE_PROTEIN_(Rhomboid_family)			fig|6666666.230262.peg.2210	1.738079167	4.889362293	49.4655833	2.02E-12	7.11E-11							
Name=hypothetical_protein			fig|6666666.230262.peg.2320	1.002412436	3.66065795	7.616909661	0.005782349	0.025940441							
Name=FIG01111283:_hypothetical_protein			fig|6666666.230262.peg.2378	1.047381124	5.487721228	29.33445963	6.09E-08	1.16E-06							
Name=FIG01112849:_hypothetical_protein			fig|6666666.230262.peg.2379	1.679309695	2.911161587	8.052851237	0.00454321	0.021439198							
Name=Alkyl_hydroperoxide_reductase_protein_F_(EC_1.6.4.-)			fig|6666666.230262.peg.2556	1.480667576	8.884030418	265.7401883	9.62E-60	6.95E-57				Sulfur Metabolism	Sulfur Metabolism - no subcategory	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)
Name=Alkyl_hydroperoxide_reductase_protein_C_(EC_1.6.4.-)	K03387		fig|6666666.230262.peg.2557	1.957918626	11.31097897	465.0068639	3.91E-103	5.65E-100	Enzymes			Sulfur Metabolism	Sulfur Metabolism - no subcategory	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)
Name=hypothetical_protein			fig|6666666.230262.peg.2575	1.42971673	3.142803344	7.765688849	0.005324799	0.024386176							
Name=FIG024006:_iron_uptake_protein			fig|6666666.230262.peg.260	1.176300929	3.944439185	11.02879436	0.000897075	0.00556072							
Name=Pirin	K06911		fig|6666666.230262.peg.2705	1.092139091	3.909199207	9.361866988	0.002215464	0.01174711	Uncharacterized						
Name=Carbon_storage_regulator	K03563	Smlt1744	fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11	Messenger RNA biogenesis			Stress Response	Stress Response - no subcategory	Carbon Starvation	Carbon storage regulator
Name=Carbon_storage_regulator	K03563	Smlt1744	fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11	Messenger RNA biogenesis			Carbohydrates	Carbohydrates - no subcategory	Carbon storage regulator	Carbon storage regulator
Name=SOS-response_repressor_and_protease_LexA_(EC_3.4.21.88)	K01356		fig|6666666.230262.peg.2729	1.107010168	7.794672953	110.7934903	6.57E-26	8.13E-24	Enzymes			DNA Metabolism	DNA repair	"DNA repair, bacterial"	SOS-response repressor and protease LexA (EC 3.4.21.88)
Name=FIG01111603:_hypothetical_protein			fig|6666666.230262.peg.2851	1.275788784	6.468374824	69.08325512	9.44E-17	5.11E-15							
Name=FIG01112657:_hypothetical_protein			fig|6666666.230262.peg.2852	1.349672732	8.815339642	162.8241709	2.73E-37	8.46E-35							
Name=Quaternary_ammonium_compound-resistance_protein_SugE	K11741		fig|6666666.230262.peg.2913	1.27489509	7.428094213	115.5138578	6.07E-27	7.97E-25	Transporters						
Name=Inner_membrane_component_of_tripartite_multidrug_resistance_system	K03446		fig|6666666.230262.peg.295	1.529420233	7.288530559	133.8219092	5.98E-31	9.25E-29	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Inner membrane component of tripartite multidrug resistance system
Name=Membrane_fusion_component_of_tripartite_multidrug_resistance_system	K03543		fig|6666666.230262.peg.296	1.450379595	5.749397341	72.58606842	1.60E-17	9.90E-16	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Membrane fusion component of tripartite multidrug resistance system
Name=Outer_membrane_component_of_tripartite_multidrug_resistance_system			fig|6666666.230262.peg.297	1.276455598	5.036914775	33.75265341	6.26E-09	1.46E-07				"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Outer membrane component of tripartite multidrug resistance system
Name=Transcriptional_regulator%2C_MarR_family			fig|6666666.230262.peg.298	2.619304413	6.490789357	232.6896459	1.54E-52	9.56E-50							
Name=Transcriptional_regulator%2C_AraC_family			fig|6666666.230262.peg.299	1.803993979	8.523583006	291.5659441	2.27E-65	2.45E-62							
Name=Type_I_secretion_system%2C_outer_membrane_component_LapE			fig|6666666.230262.peg.3084	1.154779219	6.308678869	43.15109791	5.07E-11	1.55E-09							
Name=FIG01111427:_hypothetical_protein			fig|6666666.230262.peg.3191	1.346717564	6.062592069	63.32824744	1.75E-15	8.24E-14							
Name=Phosphoglycerol_transferase_I_(EC_2.7.8.20)	K01002		fig|6666666.230262.peg.3284	1.31705873	7.442157957	126.5439239	2.34E-29	3.49E-27	Enzymes			Stress Response	Osmotic stress	Synthesis of osmoregulated periplasmic glucans	Phosphoglycerol transferase I (EC 2.7.8.20)
Name=Thermostable_8-oxoguanine_DNA_glycosylase			fig|6666666.230262.peg.3316	1.508898822	10.2771314	269.8610112	1.22E-60	1.05E-57							
Name=Phage_integrase			fig|6666666.230262.peg.3364	1.043376455	10.89893561	96.59528679	8.51E-23	8.40E-21							
Name=hypothetical_protein			fig|6666666.230262.peg.3397	2.401699175	2.574024931	13.1593173	0.000286093	0.002147929							
Name=Galactosamine-6-phosphate_isomerase_(EC_5.3.1.-)	K02082		fig|6666666.230262.peg.3404	1.824511518	4.992133025	37.78311052	7.91E-10	2.10E-08	Enzymes			Carbohydrates	Aminosugars	N-Acetyl-Galactosamine and Galactosamine Utilization	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)
Name=chloride_channel			fig|6666666.230262.peg.3418	1.773109725	5.102608663	67.51257401	2.09E-16	1.08E-14							
Name=RND_efflux_system%2C_outer_membrane_lipoprotein_CmeC	K18323	Smlt4474	fig|6666666.230262.peg.3428	1.03929657	6.227264808	47.6124149	5.19E-12	1.74E-10	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, outer membrane lipoprotein CmeC"
Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB	K18322	Smlt4475	fig|6666666.230262.peg.3429	1.733445198	6.872084746	167.863342	2.17E-38	8.53E-36	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, inner membrane transporter CmeB"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K18321	Smlt4476	fig|6666666.230262.peg.3430	1.769409984	4.133022449	38.59361437	5.22E-10	1.41E-08	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Sensory_histidine_kinase_BaeS	K07642	Smlt4477	fig|6666666.230262.peg.3431	1.44232868	6.460981139	85.06749404	2.88E-20	2.23E-18	Enzymes						
Name=Response_regulator_BaeR	K07664	Smlt4478	fig|6666666.230262.peg.3432	1.342988861	2.887960907	7.242124868	0.007121265	0.030574154	Enzymes						
Name=Interferon-induced_transmembrane_protein			fig|6666666.230262.peg.3627	1.105646989	6.530508431	54.21365753	1.80E-13	7.21E-12							
Name=Sulfate_permease			fig|6666666.230262.peg.3709	1.473259998	4.756103533	27.98751082	1.22E-07	2.17E-06				Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Cysteine Biosynthesis	Sulfate permease
Name=FIG01217340:_hypothetical_protein			fig|6666666.230262.peg.374	1.043664122	10.64315294	96.5889822	8.53E-23	8.40E-21							
Name=FIG01112121:_hypothetical_protein			fig|6666666.230262.peg.3890	1.096817736	6.548467513	54.55114061	1.51E-13	6.19E-12							
Name=FIG01111128:_hypothetical_protein			fig|6666666.230262.peg.3914	1.733337889	6.323516541	140.1252608	2.50E-32	4.92E-30							
Name=Radical_SAM_domain_protein			fig|6666666.230262.peg.4003	1.058234423	9.790839601	136.1951732	1.81E-31	3.26E-29							
Name=DNA_primase/helicase%2C_phage-associated			fig|6666666.230262.peg.4155	1.11465693	5.194021305	24.00196994	9.62E-07	1.42E-05				"Phages, Prophages, Transposable elements, Plasmids"	"Phages, Prophages"	Phage replication	"DNA primase/helicase, phage-associated"
Name=Sigma-fimbriae_tip_adhesin			fig|6666666.230262.peg.4163	1.51563	5.196247129	52.84754939	3.60E-13	1.38E-11				Membrane Transport	"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)"	sigma-Fimbriae	Sigma-fimbriae tip adhesin
Name=Sigma-fimbriae_chaperone_protein			fig|6666666.230262.peg.4164	2.447838722	2.449433319	15.4311043	8.56E-05	0.000761153				Membrane Transport	"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)"	sigma-Fimbriae	Sigma-fimbriae chaperone protein
Name=hypothetical_protein			fig|6666666.230262.peg.4200	1.343866095	3.08428467	7.03507598	0.007992848	0.033681925							
Name=hypothetical_protein			fig|6666666.230262.peg.4207	1.278505563	8.035288072	133.9826687	5.51E-31	8.84E-29							
Name=hypothetical_protein			fig|6666666.230262.peg.4208	2.268521898	8.638810701	535.944788	1.44E-118	3.11E-115							
Name=hypothetical_protein			fig|6666666.230262.peg.4209	1.347734518	6.568275584	71.72640336	2.47E-17	1.46E-15							
Name=hypothetical_protein			fig|6666666.230262.peg.4210	1.224413523	4.615813853	10.2624322	0.001357666	0.007905118							
Name=FIG01112189:_hypothetical_protein			fig|6666666.230262.peg.4282	1.156680472	3.348331971	6.603168922	0.010179743	0.040617175							
Name=Transporter%2C_LysE_family	K06895		fig|6666666.230262.peg.4308	3.389768653	6.825868292	556.4984685	4.86E-123	2.10E-119	Transporters						
Name=Predicted_maltose_transporter_MalT	K16211		fig|6666666.230262.peg.4374	1.024711541	4.900867139	14.01016468	0.000181825	0.001469526	Transporters			Carbohydrates	Di- and oligosaccharides	Maltose and Maltodextrin Utilization	Predicted maltose transporter MalT
Name=DNA_repair_protein_RadA	K04485		fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17	DNA repair and recombination proteins			Protein Metabolism	Protein degradation	"Proteolysis in bacteria, ATP-dependent"	DNA repair protein RadA
Name=DNA_repair_protein_RadA	K04485		fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17	DNA repair and recombination proteins			DNA Metabolism	DNA repair	"DNA repair, bacterial"	DNA repair protein RadA
Name=putative_Cytochrome_bd2%2C_subunit_II	K00426	Smlt3283	fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343	Enzymes	Energy Metabolism		Respiration	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	"putative Cytochrome bd2, subunit II"
Name=putative_Cytochrome_bd2%2C_subunit_II	K00426	Smlt3283	fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343	Enzymes	Energy Metabolism		Respiration	Electron accepting reactions	Terminal cytochrome oxidases	"putative Cytochrome bd2, subunit II"
Name=putative_Cytochrome_bd2%2C_subunit_I	K00425	Smlt3282	fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23	Enzymes	Energy Metabolism		Respiration	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	"putative Cytochrome bd2, subunit I"
Name=putative_Cytochrome_bd2%2C_subunit_I	K00425	Smlt3282	fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23	Enzymes	Energy Metabolism		Respiration	Electron accepting reactions	Terminal cytochrome oxidases	"putative Cytochrome bd2, subunit I"
Name=FIG01111166:_hypothetical_protein			fig|6666666.230262.peg.555	1.52044453	6.946153003	154.1123617	2.19E-35	5.58E-33							
Name=dTDP-glucose_4%2C6-dehydratase_(EC_4.2.1.46)	K08679	Smlt4612	fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20	Enzymes	Carbohydrate metabolism		Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Name=dTDP-glucose_4%2C6-dehydratase_(EC_4.2.1.46)	K08679	Smlt4612	fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20	Enzymes	Carbohydrate metabolism		Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Name=Inner_membrane_protein	K03760	Smlt3571	fig|6666666.230262.peg.593	1.830119368	6.976692692	167.3379284	2.82E-38	1.02E-35	Enzymes						
Name=FIG01110967:_hypothetical_protein			fig|6666666.230262.peg.594	1.477931769	6.583738573	115.7837981	5.30E-27	7.18E-25							
Name=FIG01112209:_hypothetical_protein			fig|6666666.230262.peg.595	1.06951363	6.821721188	68.05275019	1.59E-16	8.41E-15							
Name=Glyoxalase/bleomycin_resistance_protein/dioxygenase			fig|6666666.230262.peg.599	1.191148518	6.131253308	46.59191642	8.74E-12	2.89E-10							
Name=RNA_polymerase_sigma_factor_RpoE			fig|6666666.230262.peg.609	1.348573279	9.04187951	148.7002305	3.33E-34	7.60E-32				RNA Metabolism	Transcription	"Transcription initiation, bacterial sigma factors"	RNA polymerase sigma factor RpoE
Name=Transcriptional_regulator%2C_AraC_family			fig|6666666.230262.peg.690	1.978127643	5.37422858	107.728184	3.08E-25	3.51E-23							
Name=hypothetical_protein			fig|6666666.230262.peg.691	1.139786883	5.254435165	31.38001948	2.12E-08	4.51E-07							
Name=L-lactate_permease	K00427		fig|6666666.230262.peg.694	1.35330463	6.271598682	84.23739301	4.39E-20	3.28E-18	Transporters			Carbohydrates	Organic acids	Lactate utilization	L-lactate permease
Name=hypothetical_protein			fig|6666666.230262.peg.766	2.126954978	2.844990284	19.81814011	8.52E-06	9.66E-05							
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"  Energy metabolism, Metabolism of cofactors and vitamins"		"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	5-FCL-like protein	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"  Energy metabolism, Metabolism of cofactors and vitamins"		Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Methionine Biosynthesis	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"  Energy metabolism, Metabolism of cofactors and vitamins"		Carbohydrates	One-carbon Metabolism	Serine-glyoxylate cycle	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"  Energy metabolism, Metabolism of cofactors and vitamins"		Carbohydrates	One-carbon Metabolism	One-carbon metabolism by tetrahydropterines	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=hypothetical_protein			fig|6666666.230262.peg.851	1.42137181	3.862298649	19.08260899	1.25E-05	0.000135232							
Name=Transcriptional_regulator%2C_MarR_family			fig|6666666.230262.peg.873	2.520896636	4.708384983	90.97025751	1.46E-21	1.24E-19							
Name=FIG01111074:_hypothetical_protein			fig|6666666.230262.peg.875	1.161922259	4.692673771	20.92260968	4.78E-06	5.84E-05							
