Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism					
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"		Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Homogentisate pathway of aromatic compound degradation	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"		Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
Name=hypothetical_protein			fig|6666666.230262.peg.2330	-4.740108732	1.653900477	6.807054667	0.009079841	0.037107426							
Name=hypothetical_protein			fig|6666666.230262.peg.2342	-4.733105883	1.995383707	6.852436094	0.008852049	0.036486277							
Name=Nucleoside_triphosphate_pyrophosphohydrolase_MazG_(EC_3.6.1.8)	K04765	Smlt3663	fig|6666666.230262.peg.2508	-1.26854823	5.535102168	25.77158258	3.84E-07	6.19E-06	Enzymes	"Nucleotide metabolism,Metabolism of cofactors and vitamins"		Nucleosides and Nucleotides	Detoxification	Nucleoside triphosphate pyrophosphohydrolase MazG	Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)
Name=Chemotaxis_response_regulator_containing_a_CheY-like_receiver_domain_and_a_methylesterase_domain	K06597	Smlt3669	fig|6666666.230262.peg.2514	-1.174346441	6.206115222	28.43377068	9.70E-08	1.77E-06	Bacterial motility proteins						
Name=Imidazole_glycerol_phosphate_synthase_cyclase_subunit_(EC_4.1.3.-)	K02500	Smlt2168	fig|6666666.230262.peg.2609	-1.130168122	5.086986773	12.42089164	0.000424557	0.003029956	Enzymes	Amino acid metabolism		Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)
Name=Histidinol-phosphate_aminotransferase_(EC_2.6.1.9)	K00817	Smlt2164	fig|6666666.230262.peg.2613	-1.422069862	6.212593793	34.1171922	5.19E-09	1.24E-07	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol-phosphate aminotransferase (EC 2.6.1.9)
Name=His_repressor			fig|6666666.230262.peg.2616	-1.199657926	7.063876218	27.2168154	1.82E-07	3.11E-06							
Name=Uncharacterized_iron-regulated_membrane_protein%3B_Iron-uptake_factor_PiuB	K00380	Smlt1138	fig|6666666.230262.peg.2619	-1.070777822	4.5743401	9.425448641	0.002139947	0.011402524	Enzymes	Energy metabolism					
Name=FIG01113046:_hypothetical_protein			fig|6666666.230262.peg.2649	-4.880294564	1.858543548	7.616582115	0.0057834	0.025940441							
Name=Putative_Holliday_junction_resolvase_YggF	K07447		fig|6666666.230262.peg.2818	-1.268937691	4.53464235	11.00111914	0.000910569	0.005635121	Enzymes			Stress Response	Oxidative stress	Cluster containing Glutathione synthetase	Putative Holliday junction resolvase YggF
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Folate Biosynthesis	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	Aromatic amino acids and derivatives	"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more."	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=FIG005121:_SAM-dependent_methyltransferase_(EC_2.1.1.-)			fig|6666666.230262.peg.2923	-1.05884297	5.649691993	21.00530267	4.58E-06	5.69E-05				Stress Response	Oxidative stress	Glutathione: Non-redox reactions	FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)
Name=transcriptional_regulator%2C_TetR_family			fig|6666666.230262.peg.2991		5.444946665	14.14607404	0.00016915	0.00138256							
Name=FIG01111286:_hypothetical_protein			fig|6666666.230262.peg.3002	-2.268413546	2.856013358	7.655183219	0.005660944	0.025598341							
Name=Ketol-acid_reductoisomerase_(EC_1.1.1.86)	K00053	Smlt3913	fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"		"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Coenzyme A	Coenzyme A Biosynthesis	Ketol-acid reductoisomerase (EC 1.1.1.86)
Name=Ketol-acid_reductoisomerase_(EC_1.1.1.86)	K00053	Smlt3913	fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"		Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	Ketol-acid reductoisomerase (EC 1.1.1.86)
Name=2-isopropylmalate_synthase_(EC_2.3.3.13)	K01649	Smlt3917	fig|6666666.230262.peg.3030	-1.007276443	4.158062357	6.911746283	0.008563132	0.035634474	Enzymes	"Carbohydrate metabolism , Amino acid metabolism "		Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	2-isopropylmalate synthase (EC 2.3.3.13)
Name=2-isopropylmalate_synthase_(EC_2.3.3.13)	K01649	Smlt3917	fig|6666666.230262.peg.3030	-1.007276443	4.158062357	6.911746283	0.008563132	0.035634474	Enzymes	"Carbohydrate metabolism , Amino acid metabolism "		Amino Acids and Derivatives	Branched-chain amino acids	Leucine Biosynthesis	2-isopropylmalate synthase (EC 2.3.3.13)
Name=predicted_N-acetylglucosamine_kinase%2C_glucokinase-like_(EC_2.7.1.59)	K00845	Smlt4025	fig|6666666.230262.peg.3064	-1.02291079	4.192339126	6.22553271	0.012592102	0.048145618	Enzymes	"Carbohydrate metabolism, Biosynthesis of other secondary metabolites"		Carbohydrates	Aminosugars	Chitin and N-acetylglucosamine utilization	"predicted N-acetylglucosamine kinase, glucokinase-like (EC 2.7.1.59)"
Name=FIG01111149:_hypothetical_protein			fig|6666666.230262.peg.3122	-1.725482021	5.55816652	34.75323741	3.74E-09	9.16E-08							
Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB	K18146	Smlt2202	fig|6666666.230262.peg.3123	-1.679876554	8.139234991	161.1293768	6.41E-37	1.85E-34	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, inner membrane transporter CmeB"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K18145	Smlt2201	fig|6666666.230262.peg.3124	-1.652378956	6.913608066	76.16585859	2.61E-18	1.71E-16	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Fructokinase_(EC_2.7.1.4)	K00847	Smlt2183	fig|6666666.230262.peg.3141	-1.465194685	4.054694052	9.568212056	0.001979755	0.010721839	Enzymes	Carbohydrate metabolism		Carbohydrates	Monosaccharides	Fructose utilization	Fructokinase (EC 2.7.1.4)
Name=Alpha-1%2C2-mannosidase			fig|6666666.230262.peg.3144	-1.018751504	7.700705562	55.93491379	7.49E-14	3.12E-12				Carbohydrates	Monosaccharides	Mannose Metabolism	"Alpha-1,2-mannosidase"
Name=Acetolactate_synthase_large_subunit_(EC_2.2.1.6)	K01652	Smlt3914	fig|6666666.230262.peg.3166	-1.286386291	6.59862325	62.60812841	2.52E-15	1.17E-13	Enzymes	"Carbohydrate metabolism , Amino acid metabolism , Metabolism of cofactors and vitamins"		Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	Acetolactate synthase large subunit (EC 2.2.1.6)
Name=Succinate-semialdehyde_dehydrogenase_[NAD]_(EC_1.2.1.24)%3B_Succinate-semialdehyde_dehydrogenase_[NAD(P)+]_(EC_1.2.1.16)	K08324	Smlt2230	fig|6666666.230262.peg.3167	-2.174584632	6.69819198	159.673086	1.33E-36	3.61E-34	Enzymes	"Carbohydrate metabolism , Amino acid metabolism , Metabolism of cofactors and vitamins"					
Name=Cob(I)alamin_adenosyltransferase_(EC_2.5.1.17)			fig|6666666.230262.peg.3173	-1.193553815	4.458141012	6.420072579	0.011283755	0.04407685							
Name=Heavy_metal_RND_efflux_outer_membrane_protein%2C_CzcC_family	K15725		fig|6666666.230262.peg.3361	-1.073145393	6.111179204	30.37279098	3.56E-08	7.15E-07	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	"Heavy metal RND efflux outer membrane protein, CzcC family"
Name=Cobalt-zinc-cadmium_resistance_protein_CzcD			fig|6666666.230262.peg.3362	-1.195440196	7.573487791	85.24875782	2.63E-20	2.07E-18				"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD
Name=Glycine_cleavage_system_transcriptional_activator			fig|6666666.230262.peg.343	-1.309191815	3.689451141	6.834851124	0.008939614	0.036699423				Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator
Name=Methylglutaconyl-CoA_hydratase_(EC_4.2.1.18)	K13766	Smlt2209	fig|6666666.230262.peg.3457	-1.21431118	4.672151245	12.8128238	0.000344252	0.002502178	Enzymes	Amino acid metabolism					
Name=3-oxoacyl-[acyl-carrier_protein]_reductase_(EC_1.1.1.100)	K00059	Smlt4462	fig|6666666.230262.peg.3464	-1.000918351	4.386326118	7.257506172	0.007060527	0.030434032	Enzymes	"Lipid metabolism,  Metabolism of cofactors and vitamins, Biosynthesis of other secondary metabolites"		"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Fatty Acid Biosynthesis FASII	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Name=4-hydroxy-tetrahydrodipicolinate_reductase_(EC_1.17.1.8)	K00215	Smlt2217	fig|6666666.230262.peg.3465	-1.3912382	4.989913478	16.35998409	5.24E-05	0.000489026	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	"Lysine Biosynthesis DAP Pathway, GJO scratch"	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
Name=4-hydroxy-tetrahydrodipicolinate_reductase_(EC_1.17.1.8)	K00215	Smlt2217	fig|6666666.230262.peg.3465	-1.3912382	4.989913478	16.35998409	5.24E-05	0.000489026	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"		Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Lysine Biosynthesis DAP Pathway	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
Name=putative%3B_ORF_located_using_Glimmer/Genemark			fig|6666666.230262.peg.3519	-1.769150339	3.958049557	12.8632494	0.000335098	0.002454369							
Name=FIG01111224:_hypothetical_protein			fig|6666666.230262.peg.382	-1.085666219	7.806541727	57.13798015	4.06E-14	1.73E-12							
Name=RNA-2'%2C3'-PO4:RNA-5'-OH_ligase	K14415		fig|6666666.230262.peg.3835	-1.212937451	6.371657107	36.80032503	1.31E-09	3.35E-08	Enzymes			RNA Metabolism	RNA processing and modification	RNA 3'-terminal phosphate cyclase	"RNA-2',3'-PO4:RNA-5'-OH ligase"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K03585	Smlt4072	fig|6666666.230262.peg.3898	-1.080022111	5.513531353	13.50679231	0.000237702	0.001848695	Transporters			"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Phosphate-specific_outer_membrane_porin_OprP_%3B_Pyrophosphate-specific_outer_membrane_porin_OprO	K07221		fig|6666666.230262.peg.4085	-1.136251514	7.79611655	75.66741627	3.36E-18	2.17E-16	Transporters			Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Phosphate metabolism	Pyrophosphate-specific outer membrane porin OprO
Name=Methyl-accepting_chemotaxis_protein_I_(serine_chemoreceptor_protein)			fig|6666666.230262.peg.4130	-5.783688486	2.238977785	14.54398629	0.000136925	0.001156256				Motility and Chemotaxis	Motility and Chemotaxis - no subcategory	Bacterial Chemotaxis	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
Name=Pathogenicity-related_protein			fig|6666666.230262.peg.4280	-1.266230145	4.582338745	12.60916613	0.00038386	0.00276226							
Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases			fig|6666666.230262.peg.4311	-1.379726745	6.964778991	52.8463254	3.61E-13	1.38E-11							
Name=hypothetical_protein			fig|6666666.230262.peg.4312	-1.567099902	4.698251168	19.85414533	8.36E-06	9.53E-05							
Name=FIGfam138462:_Acyl-CoA_synthetase%2C_AMP-(fatty)_acid_ligase_/_(3R)-hydroxymyristoyl-[ACP]_dehydratase_(EC_4.2.1.-)			fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10				"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	"FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase"
Name=FIGfam138462:_Acyl-CoA_synthetase%2C_AMP-(fatty)_acid_ligase_/_(3R)-hydroxymyristoyl-[ACP]_dehydratase_(EC_4.2.1.-)			fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10				"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)
Name=3-oxoacyl-[ACP]_synthase			fig|6666666.230262.peg.517	-1.091359997	5.16790472	16.98974742	3.76E-05	0.000362597				"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	3-oxoacyl-[ACP] synthase
Name=Regulatory_sensor-transducer%2C_BlaR1/MecR1_family			fig|6666666.230262.peg.670	-1.064646173	4.268190951	6.672854657	0.009789227	0.039375053							
Name=FIG037995:_Hypothetical_protein			fig|6666666.230262.peg.679	-1.310057956	4.267508862	8.994049846	0.002708601	0.013885986							
Name=Transcriptional_regulator%2C_LysR_family			fig|6666666.230262.peg.709	-1.306346906	4.65547354	11.8186648	0.000586399	0.003926245							
Name=FIG01111801:_hypothetical_protein			fig|6666666.230262.peg.764	-1.108590276	4.453351011	9.768882616	0.001774903	0.009745094							
Name=ABC_transporter%2C_ATP-binding_protein	K02003		fig|6666666.230262.peg.79	-1.301045503	5.351636552	22.70106598	1.89E-06	2.64E-05	Transporters						
Name=FIG01111179:_hypothetical_protein			fig|6666666.230262.peg.794	-1.386150611	3.879666929	8.934934576	0.002797675	0.014291896							
Name=FIG01111702:_hypothetical_protein			fig|6666666.230262.peg.800	-1.176399065	8.700818205	118.6414521	1.25E-27	1.75E-25							
Name=Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily			fig|6666666.230262.peg.924	-1.125737935	5.728577968	18.61503936	1.60E-05	0.000167843				RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine Biosynthesis	Permease of the drug/metabolite transporter (DMT) superfamily
Name=FIG01111448:_hypothetical_protein			fig|6666666.230262.peg.925	-1.730881064	7.834529366	138.4485649	5.81E-32	1.10E-29							
Name=TonB-dependent_receptor	K02014		fig|6666666.230262.peg.926	-1.245966354	9.234158402	124.4818977	6.61E-29	9.54E-27	Transporters			Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TonB-dependent receptor
Name=conserved_hypothetical_protein-transmembrane_prediction			fig|6666666.230262.peg.961	-1.01935853	5.639680348	17.44310125	2.96E-05	0.000292125							
Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases			fig|6666666.230262.peg.972	-1.101360275	4.308353991	9.0631611	0.002608107	0.013491702							
