Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism	which	Category	Subcategory	Subsystem	Role
Name=Arsenate_reductase_(EC_1.20.4.1)			fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149			5down	Respiration	Electron accepting reactions	Anaerobic respiratory reductases	Arsenate reductase (EC 1.20.4.1)
Name=Lactoylglutathione_lyase_(EC_4.4.1.5)			fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11			5down	Stress Response	Oxidative stress	Glutathione: Non-redox reactions	Lactoylglutathione lyase (EC 4.4.1.5)
Name=Lactoylglutathione_lyase_(EC_4.4.1.5)			fig|6666666.230262.peg.165	-2.168468119	5.455833689	50.56537015	1.15E-12	4.23E-11			5down	Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Lactoylglutathione lyase (EC 4.4.1.5)
Name=Transcriptional_regulator%2C_ArsR_family			fig|6666666.230262.peg.166	-3.671240118	7.125186028	215.3808641	9.20E-49	4.98E-46			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Autolysin_sensor_kinase_(EC_2.7.3.-)			fig|6666666.230262.peg.1760	-1.039391253	4.205534465	6.331907016	0.011858474	0.045785123			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111381:_hypothetical_protein			fig|6666666.230262.peg.1876	-1.252969935	6.180118579	32.5978759	1.13E-08	2.51E-07			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Biopolymer_transport_protein_ExbD/TolR	K03559		fig|6666666.230262.peg.190	-1.212158444	4.083362176	9.964797751	0.001595617	0.008953644	Transporters		5down	Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Biopolymer transport protein ExbD/TolR
Name=Arsenical_resistance_operon_repressor			fig|6666666.230262.peg.1915	-1.634057441	6.872885424	66.81341324	2.98E-16	1.50E-14			5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical resistance operon repressor
Name=Flagellar_biosynthesis_protein_FliC	K02406	Smlt2306	fig|6666666.230262.peg.1941	-1.017991778	5.431293686	17.27606808	3.23E-05	0.000315238	Bacterial motility proteinsÂ 		5down	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	Flagellar biosynthesis protein FliC
Name=Flagellar_biosynthesis_protein_FliR	K02421	Smlt2277	fig|6666666.230262.peg.1966	-1.065207756	5.177446945	14.56384655	0.000135489	0.001146366	Bacterial motility proteinsÂ 		5down	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	Flagellar biosynthesis protein FliR
Name=Flagellar_biosynthesis_protein_FliR	K02421	Smlt2277	fig|6666666.230262.peg.1966	-1.065207756	5.177446945	14.56384655	0.000135489	0.001146366	Bacterial motility proteinsÂ 		5down	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellar motility	Flagellar biosynthesis protein FliR
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteinsÂ 		5down	RNA Metabolism	Transcription	"Transcription initiation, bacterial sigma factors"	RNA polymerase sigma factor for flagellar operon
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteinsÂ 		5down	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	RNA polymerase sigma factor for flagellar operon
Name=RNA_polymerase_sigma_factor_for_flagellar_operon	K02405	Smlt2270	fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Bacterial motility proteinsÂ 		5down	Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellar motility	RNA polymerase sigma factor for flagellar operon
Name=Glutamate_5-kinase_(EC_2.7.2.11)_/_RNA-binding_C-terminal_domain_PUA	K00931	Smlt3294	fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline Synthesis	RNA-binding C-terminal domain PUA
Name=Glutamate_5-kinase_(EC_2.7.2.11)_/_RNA-binding_C-terminal_domain_PUA	K00931	Smlt3294	fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline Synthesis	Glutamate 5-kinase (EC 2.7.2.11)
Name=FIG01111989:_hypothetical_protein	K07301		fig|6666666.230262.peg.2178	-1.229607973	5.031861435	13.92497177	0.000190254	0.001517827	Transporters		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111325:_hypothetical_protein			fig|6666666.230262.peg.2180	-1.734946316	4.84598314	27.42838823	1.63E-07	2.81E-06			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Homogentisate_1%2C2-dioxygenase_(EC_1.13.11.5)	K00451	Smlt4329	fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14	Enzymes	"Amino acid metabolism, Xenobiotics biodegradation and metabolism"	5down	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Pterin carbinolamine dehydratase	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
Name=Homogentisate_1%2C2-dioxygenase_(EC_1.13.11.5)	K00451	Smlt4329	fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14	Enzymes	"Amino acid metabolism, Xenobiotics biodegradation and metabolism"	5down	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Homogentisate pathway of aromatic compound degradation	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"	5down	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Pterin carbinolamine dehydratase	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"	5down	Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Homogentisate pathway of aromatic compound degradation	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)	K00457	Smlt4330	fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"	5down	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
Name=hypothetical_protein			fig|6666666.230262.peg.2330	-4.740108732	1.653900477	6.807054667	0.009079841	0.037107426			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.2342	-4.733105883	1.995383707	6.852436094	0.008852049	0.036486277			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Nucleoside_triphosphate_pyrophosphohydrolase_MazG_(EC_3.6.1.8)	K04765	Smlt3663	fig|6666666.230262.peg.2508	-1.26854823	5.535102168	25.77158258	3.84E-07	6.19E-06	Enzymes	"Nucleotide metabolism,Metabolism of cofactors and vitamins"	5down	Nucleosides and Nucleotides	Detoxification	Nucleoside triphosphate pyrophosphohydrolase MazG	Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)
Name=Chemotaxis_response_regulator_containing_a_CheY-like_receiver_domain_and_a_methylesterase_domain	K06597	Smlt3669	fig|6666666.230262.peg.2514	-1.174346441	6.206115222	28.43377068	9.70E-08	1.77E-06	Bacterial motility proteins		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Imidazole_glycerol_phosphate_synthase_cyclase_subunit_(EC_4.1.3.-)	K02500	Smlt2168	fig|6666666.230262.peg.2609	-1.130168122	5.086986773	12.42089164	0.000424557	0.003029956	Enzymes	Amino acid metabolism	5down	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)
Name=Histidinol-phosphate_aminotransferase_(EC_2.6.1.9)	K00817	Smlt2164	fig|6666666.230262.peg.2613	-1.422069862	6.212593793	34.1171922	5.19E-09	1.24E-07	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis	Histidinol-phosphate aminotransferase (EC 2.6.1.9)
Name=His_repressor			fig|6666666.230262.peg.2616	-1.199657926	7.063876218	27.2168154	1.82E-07	3.11E-06			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Uncharacterized_iron-regulated_membrane_protein%3B_Iron-uptake_factor_PiuB	K00380	Smlt1138	fig|6666666.230262.peg.2619	-1.070777822	4.5743401	9.425448641	0.002139947	0.011402524	Enzymes	Energy metabolism	5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01113046:_hypothetical_protein			fig|6666666.230262.peg.2649	-4.880294564	1.858543548	7.616582115	0.0057834	0.025940441			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Putative_Holliday_junction_resolvase_YggF	K07447		fig|6666666.230262.peg.2818	-1.268937691	4.53464235	11.00111914	0.000910569	0.005635121	Enzymes		5down	Stress Response	Oxidative stress	Cluster containing Glutathione synthetase	Putative Holliday junction resolvase YggF
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	Folate Biosynthesis	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	Aromatic amino acids and derivatives	"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more."	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)	K01657	Smlt1032	fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
Name=FIG005121:_SAM-dependent_methyltransferase_(EC_2.1.1.-)			fig|6666666.230262.peg.2923	-1.05884297	5.649691993	21.00530267	4.58E-06	5.69E-05			5down	Stress Response	Oxidative stress	Glutathione: Non-redox reactions	FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)
Name=transcriptional_regulator%2C_TetR_family			fig|6666666.230262.peg.2991		5.444946665	14.14607404	0.00016915	0.00138256			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111286:_hypothetical_protein			fig|6666666.230262.peg.3002	-2.268413546	2.856013358	7.655183219	0.005660944	0.025598341			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Ketol-acid_reductoisomerase_(EC_1.1.1.86)	K00053	Smlt3913	fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"	5down	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Coenzyme A	Coenzyme A Biosynthesis	Ketol-acid reductoisomerase (EC 1.1.1.86)
Name=Ketol-acid_reductoisomerase_(EC_1.1.1.86)	K00053	Smlt3913	fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915	Enzymes	"Amino acid metabolism, Metabolism of cofactors and vitamins"	5down	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	Ketol-acid reductoisomerase (EC 1.1.1.86)
Name=2-isopropylmalate_synthase_(EC_2.3.3.13)	K01649	Smlt3917	fig|6666666.230262.peg.3030	-1.007276443	4.158062357	6.911746283	0.008563132	0.035634474	Enzymes	"Carbohydrate metabolism , Amino acid metabolism "	5down	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	2-isopropylmalate synthase (EC 2.3.3.13)
Name=2-isopropylmalate_synthase_(EC_2.3.3.13)	K01649	Smlt3917	fig|6666666.230262.peg.3030	-1.007276443	4.158062357	6.911746283	0.008563132	0.035634474	Enzymes	"Carbohydrate metabolism , Amino acid metabolism "	5down	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Biosynthesis	2-isopropylmalate synthase (EC 2.3.3.13)
Name=predicted_N-acetylglucosamine_kinase%2C_glucokinase-like_(EC_2.7.1.59)	K00845	Smlt4025	fig|6666666.230262.peg.3064	-1.02291079	4.192339126	6.22553271	0.012592102	0.048145618	Enzymes	"Carbohydrate metabolism, Biosynthesis of other secondary metabolites"	5down	Carbohydrates	Aminosugars	Chitin and N-acetylglucosamine utilization	"predicted N-acetylglucosamine kinase, glucokinase-like (EC 2.7.1.59)"
Name=FIG01111149:_hypothetical_protein			fig|6666666.230262.peg.3122	-1.725482021	5.55816652	34.75323741	3.74E-09	9.16E-08			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB	K18146	Smlt2202	fig|6666666.230262.peg.3123	-1.679876554	8.139234991	161.1293768	6.41E-37	1.85E-34	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, inner membrane transporter CmeB"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K18145	Smlt2201	fig|6666666.230262.peg.3124	-1.652378956	6.913608066	76.16585859	2.61E-18	1.71E-16	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Fructokinase_(EC_2.7.1.4)	K00847	Smlt2183	fig|6666666.230262.peg.3141	-1.465194685	4.054694052	9.568212056	0.001979755	0.010721839	Enzymes	Carbohydrate metabolism	5down	Carbohydrates	Monosaccharides	Fructose utilization	Fructokinase (EC 2.7.1.4)
Name=Alpha-1%2C2-mannosidase			fig|6666666.230262.peg.3144	-1.018751504	7.700705562	55.93491379	7.49E-14	3.12E-12			5down	Carbohydrates	Monosaccharides	Mannose Metabolism	"Alpha-1,2-mannosidase"
Name=Acetolactate_synthase_large_subunit_(EC_2.2.1.6)	K01652	Smlt3914	fig|6666666.230262.peg.3166	-1.286386291	6.59862325	62.60812841	2.52E-15	1.17E-13	Enzymes	"Carbohydrate metabolism , Amino acid metabolism , Metabolism of cofactors and vitamins"	5down	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis	Acetolactate synthase large subunit (EC 2.2.1.6)
Name=Succinate-semialdehyde_dehydrogenase_[NAD]_(EC_1.2.1.24)%3B_Succinate-semialdehyde_dehydrogenase_[NAD(P)+]_(EC_1.2.1.16)	K08324	Smlt2230	fig|6666666.230262.peg.3167	-2.174584632	6.69819198	159.673086	1.33E-36	3.61E-34	Enzymes	"Carbohydrate metabolism , Amino acid metabolism , Metabolism of cofactors and vitamins"	5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Cob(I)alamin_adenosyltransferase_(EC_2.5.1.17)			fig|6666666.230262.peg.3173	-1.193553815	4.458141012	6.420072579	0.011283755	0.04407685			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Heavy_metal_RND_efflux_outer_membrane_protein%2C_CzcC_family	K15725		fig|6666666.230262.peg.3361	-1.073145393	6.111179204	30.37279098	3.56E-08	7.15E-07	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	"Heavy metal RND efflux outer membrane protein, CzcC family"
Name=Cobalt-zinc-cadmium_resistance_protein_CzcD			fig|6666666.230262.peg.3362	-1.195440196	7.573487791	85.24875782	2.63E-20	2.07E-18			5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD
Name=Glycine_cleavage_system_transcriptional_activator			fig|6666666.230262.peg.343	-1.309191815	3.689451141	6.834851124	0.008939614	0.036699423			5down	Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator
Name=Methylglutaconyl-CoA_hydratase_(EC_4.2.1.18)	K13766	Smlt2209	fig|6666666.230262.peg.3457	-1.21431118	4.672151245	12.8128238	0.000344252	0.002502178	Enzymes	Amino acid metabolism	5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=3-oxoacyl-[acyl-carrier_protein]_reductase_(EC_1.1.1.100)	K00059	Smlt4462	fig|6666666.230262.peg.3464	-1.000918351	4.386326118	7.257506172	0.007060527	0.030434032	Enzymes	"Lipid metabolism,  Metabolism of cofactors and vitamins, Biosynthesis of other secondary metabolites"	5down	"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Fatty Acid Biosynthesis FASII	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Name=4-hydroxy-tetrahydrodipicolinate_reductase_(EC_1.17.1.8)	K00215	Smlt2217	fig|6666666.230262.peg.3465	-1.3912382	4.989913478	16.35998409	5.24E-05	0.000489026	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	"Lysine Biosynthesis DAP Pathway, GJO scratch"	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
Name=4-hydroxy-tetrahydrodipicolinate_reductase_(EC_1.17.1.8)	K00215	Smlt2217	fig|6666666.230262.peg.3465	-1.3912382	4.989913478	16.35998409	5.24E-05	0.000489026	Enzymes	"Amino acid metabolism, Biosynthesis of other secondary metabolites"	5down	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Lysine Biosynthesis DAP Pathway	4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
Name=putative%3B_ORF_located_using_Glimmer/Genemark			fig|6666666.230262.peg.3519	-1.769150339	3.958049557	12.8632494	0.000335098	0.002454369			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111224:_hypothetical_protein			fig|6666666.230262.peg.382	-1.085666219	7.806541727	57.13798015	4.06E-14	1.73E-12			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=RNA-2'%2C3'-PO4:RNA-5'-OH_ligase	K14415		fig|6666666.230262.peg.3835	-1.212937451	6.371657107	36.80032503	1.31E-09	3.35E-08	Enzymes		5down	RNA Metabolism	RNA processing and modification	RNA 3'-terminal phosphate cyclase	"RNA-2',3'-PO4:RNA-5'-OH ligase"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K03585	Smlt4072	fig|6666666.230262.peg.3898	-1.080022111	5.513531353	13.50679231	0.000237702	0.001848695	Transporters		5down	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Phosphate-specific_outer_membrane_porin_OprP_%3B_Pyrophosphate-specific_outer_membrane_porin_OprO	K07221		fig|6666666.230262.peg.4085	-1.136251514	7.79611655	75.66741627	3.36E-18	2.17E-16	Transporters		5down	Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Phosphate metabolism	Pyrophosphate-specific outer membrane porin OprO
Name=Methyl-accepting_chemotaxis_protein_I_(serine_chemoreceptor_protein)			fig|6666666.230262.peg.4130	-5.783688486	2.238977785	14.54398629	0.000136925	0.001156256			5down	Motility and Chemotaxis	Motility and Chemotaxis - no subcategory	Bacterial Chemotaxis	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)
Name=Pathogenicity-related_protein			fig|6666666.230262.peg.4280	-1.266230145	4.582338745	12.60916613	0.00038386	0.00276226			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases			fig|6666666.230262.peg.4311	-1.379726745	6.964778991	52.8463254	3.61E-13	1.38E-11			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4312	-1.567099902	4.698251168	19.85414533	8.36E-06	9.53E-05			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIGfam138462:_Acyl-CoA_synthetase%2C_AMP-(fatty)_acid_ligase_/_(3R)-hydroxymyristoyl-[ACP]_dehydratase_(EC_4.2.1.-)			fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10			5down	"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	"FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase"
