fig|6666666.230262.peg.1	Name=GCN5-related_N-acetyltransferase
fig|6666666.230262.peg.36	Name=Phage_terminase%2C_large_subunit
fig|6666666.230262.peg.37	Name=hypothetical_protein
fig|6666666.230262.peg.38	Name=hypothetical_protein
fig|6666666.230262.peg.39	Name=hypothetical_protein
fig|6666666.230262.peg.40	Name=hypothetical_protein
fig|6666666.230262.peg.41	Name=Phage_lysin
fig|6666666.230262.peg.42	Name=hypothetical_protein
fig|6666666.230262.peg.43	Name=hypothetical_protein
fig|6666666.230262.peg.44	Name=Replicative_DNA_helicase_(EC_3.6.1.-)
fig|6666666.230262.peg.45	Name=hypothetical_protein
fig|6666666.230262.peg.46	Name=hypothetical_protein
fig|6666666.230262.peg.47	Name=hypothetical_protein
fig|6666666.230262.peg.48	Name=hypothetical_protein
fig|6666666.230262.peg.49	Name=hypothetical_protein
fig|6666666.230262.peg.50	Name=hypothetical_protein
fig|6666666.230262.peg.51	Name=hypothetical_protein
fig|6666666.230262.peg.52	Name=hypothetical_protein
fig|6666666.230262.peg.53	Name=Coproporphyrinogen_III_oxidase%2C_oxygen-independent_(EC_1.3.99.22)
fig|6666666.230262.peg.54	Name=putative_sec-independent_protein_translocase_protein_TatC
fig|6666666.230262.peg.55	Name=FIG01111140:_hypothetical_protein
fig|6666666.230262.peg.56	Name=Type_cbb3_cytochrome_oxidase_biogenesis_protein_CcoG%2C_involved_in_Cu_oxidation
fig|6666666.230262.peg.57	Name=FIG01112275:_hypothetical_protein
fig|6666666.230262.peg.58	Name=FIG01111500:_hypothetical_protein
fig|6666666.230262.peg.59	Name=transcriptional_regulator%2C_XRE_family
fig|6666666.230262.peg.60	Name=CrcB_protein
fig|6666666.230262.peg.61	Name=Transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.62	Name=hypothetical_protein
fig|6666666.230262.peg.63	Name=XoxI
fig|6666666.230262.peg.64	Name=D-threo-aldose_1-dehydrogenase_(EC_1.1.1.122)
fig|6666666.230262.peg.65	Name=LysR_family_transcriptional_regulator_YnfL
fig|6666666.230262.peg.66	Name=hypothetical_protein
fig|6666666.230262.peg.67	Name=FIG01112936:_hypothetical_protein
fig|6666666.230262.peg.68	Name=FIG01112017:_hypothetical_protein
fig|6666666.230262.peg.69	Name=Transcriptional_regulator%2C_ArsR_family
fig|6666666.230262.peg.70	Name=Conserved_protein/domain_typically_associated_with_flavoprotein_oxygenases_DIM6/NTAB_family-like
fig|6666666.230262.peg.71	Name=Phage_protein
fig|6666666.230262.peg.72	Name=hypothetical_protein
fig|6666666.230262.peg.73	Name=acetyltransferase%2C_GNAT_family
fig|6666666.230262.peg.74	Name=Nudix_hydrolase_family_protein
fig|6666666.230262.peg.75	Name=FIG00631715:_hypothetical_protein
fig|6666666.230262.peg.76	Name=FIG01112006:_hypothetical_protein
fig|6666666.230262.peg.77	Name=FIG01110959:_hypothetical_protein
fig|6666666.230262.peg.78	Name=HlyD_family_secretion_protein
fig|6666666.230262.peg.79	Name=ABC_transporter%2C_ATP-binding_protein
fig|6666666.230262.peg.80	Name=Cysteine_desulfurase_(EC_2.8.1.7)
fig|6666666.230262.peg.81	Name=RND_efflux_system%2C_outer_membrane_lipoprotein%2C_NodT_family
fig|6666666.230262.peg.82	Name=monooxygenase%2C_FAD-binding
fig|6666666.230262.peg.83	Name=hypothetical_protein
fig|6666666.230262.peg.84	Name=FIG041388:_hypothetical_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.85	Name=Transcriptional_regulator_in_PFGI-1-like_cluster
fig|6666666.230262.peg.86	Name=Chromosome_partitioning_ATPase_in_PFGI-1-like_cluster%2C_ParA-like
fig|6666666.230262.peg.87	Name=FIG034647:_hypothetical_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.88	Name=Protein_with_ParB-like_nuclease_domain_in_PFGI-1-like_cluster
fig|6666666.230262.peg.89	Name=FIG004780:_hypothetical_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.90	Name=FIG141751:_hypothetical_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.91	Name=FIG141694:_hypothetical_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.92	Name=Integrase_regulator_R
fig|6666666.230262.peg.93	Name=Single-stranded_DNA-binding_protein_in_PFGI-1-like_cluster
fig|6666666.230262.peg.94	Name=DNA_topoisomerase_III_(EC_5.99.1.2)_in_PFGI-1-like_cluster
fig|6666666.230262.peg.95	Name=Cobalt-zinc-cadmium_resistance_protein_CzcD
fig|6666666.230262.peg.96	Name=Transcriptional_regulator%2C_MerR_family
fig|6666666.230262.peg.97	Name=Lead%2C_cadmium%2C_zinc_and_mercury_transporting_ATPase_(EC_3.6.3.3)_(EC_3.6.3.5)%3B_Copper-translocating_P-type_ATPase_(EC_3.6.3.4)
fig|6666666.230262.peg.98	Name=Lipoprotein_signal_peptidase_(EC_3.4.23.36)
fig|6666666.230262.peg.99	Name=FIG01218499:_hypothetical_protein
fig|6666666.230262.peg.100	Name=FIG01211190:_hypothetical_protein
fig|6666666.230262.peg.101	Name=FIG00902157:_hypothetical_protein
fig|6666666.230262.peg.102	Name=hypothetical_protein
fig|6666666.230262.peg.103	Name=FIG076676:_Hypothetical_protein
fig|6666666.230262.peg.104	Name=Mercuric_resistance_operon_regulatory_protein
fig|6666666.230262.peg.105	Name=Mercuric_transport_protein%2C_MerT
fig|6666666.230262.peg.106	Name=Periplasmic_mercury(+2)_binding_protein
fig|6666666.230262.peg.107	Name=Mercuric_ion_reductase_(EC_1.16.1.1)
fig|6666666.230262.peg.108	Name=Mobile_element_protein
fig|6666666.230262.peg.109	Name=FIG076210:_Hypothetical_protein
fig|6666666.230262.peg.110	Name=FIG01218638:_hypothetical_protein
fig|6666666.230262.peg.111	Name=FIG049434:_Periplasmic_protein_TonB%2C_links_inner_and_outer_membranes
fig|6666666.230262.peg.112	Name=protein_of_unknown_function_DUF932
fig|6666666.230262.peg.113	Name=FIG034376:_Hypothetical_protein
fig|6666666.230262.peg.114	Name=FIG036757:_Plasmid-related_protein
fig|6666666.230262.peg.115	Name=FIG046709:_Hypothetical_protein
fig|6666666.230262.peg.116	Name=FIG041301:_Hypothetical_protein
fig|6666666.230262.peg.117	Name=FIG026997:_Hypothetical_protein
fig|6666666.230262.peg.118	Name=FIG023873:_Plasmid_related_protein
fig|6666666.230262.peg.119	Name=FIG00954465:_hypothetical_protein
fig|6666666.230262.peg.120	Name=FIG00957490:_hypothetical_protein
fig|6666666.230262.peg.121	Name=Superfamily_II_DNA/RNA_helicases%2C_SNF2_family
fig|6666666.230262.peg.122	Name=PilL_protein
fig|6666666.230262.peg.123	Name=Methyl-accepting_chemotaxis_protein
fig|6666666.230262.peg.124	Name=probable_exported_protein_STY4558
fig|6666666.230262.peg.125	Name=Soluble_lytic_murein_transglycosylase_and_related_regulatory_proteins_(some_contain_LysM/invasin_domains)
fig|6666666.230262.peg.126	Name=FIG00954712:_hypothetical_protein
fig|6666666.230262.peg.127	Name=Type_IV_secretory_pathway%2C_VirD4_components
fig|6666666.230262.peg.128	Name=putative_membrane_protein
fig|6666666.230262.peg.129	Name=ATPase_involved_in_DNA_repair
fig|6666666.230262.peg.130	Name=FIG00960841:_hypothetical_protein
fig|6666666.230262.peg.131	Name=hypothetical_protein_APECO1_2271
fig|6666666.230262.peg.132	Name=FIG00348227:_hypothetical_protein
fig|6666666.230262.peg.133	Name=AAA_family_ATPase%2C_possible_cell_division_control_protein_cdc48
fig|6666666.230262.peg.134	Name=hypothetical_protein
fig|6666666.230262.peg.135	Name=Excisionase_domain_protein
fig|6666666.230262.peg.136	Name=Candidate_type_III_effector_Hop_protein
fig|6666666.230262.peg.137	Name=hypothetical_protein
fig|6666666.230262.peg.138	Name=FIG01210404:_hypothetical_protein
fig|6666666.230262.peg.139	Name=hypothetical_protein
fig|6666666.230262.peg.140	Name=Possible_exported_protein
fig|6666666.230262.peg.141	Name=FIG01212985:_hypothetical_protein
fig|6666666.230262.peg.142	Name=putative_exported_protein
fig|6666666.230262.peg.143	Name=putative_lipoprotein
fig|6666666.230262.peg.144	Name=Type_IV_secretory_pathway%2C_VirB4_components
fig|6666666.230262.peg.145	Name=Protein-disulfide_isomerase
fig|6666666.230262.peg.146	Name=DNA_repair_protein_RadC
fig|6666666.230262.peg.147	Name=FIG01211007:_hypothetical_protein
fig|6666666.230262.peg.148	Name=FIG00956406:_hypothetical_protein
fig|6666666.230262.peg.149	Name=FIG00715740:_hypothetical_protein
fig|6666666.230262.peg.150	Name=FIG00958347:_hypothetical_protein
fig|6666666.230262.peg.151	Name=putative_membrane_protein
fig|6666666.230262.peg.152	Name=hypothetical_protein
fig|6666666.230262.peg.153	Name=FIG00958223:_hypothetical_protein
fig|6666666.230262.peg.154	Name=Integrase
fig|6666666.230262.peg.155	Name=Pyruvate/2-oxoglutarate_dehydrogenase_complex%2C_dihydrolipoamide_acyltransferase_(E2)_component%2C_and_related_enzymes
fig|6666666.230262.peg.156	Name=RND_efflux_system%2C_membrane_fusion_protein_CmeA
fig|6666666.230262.peg.157	Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB
fig|6666666.230262.peg.158	Name=putative_plasmid_stabilization_protein
fig|6666666.230262.peg.159	Name=PhnO_protein
fig|6666666.230262.peg.160	Name=Chromate_transport_protein_ChrA
fig|6666666.230262.peg.161	Name=Transcriptional_regulator%2C_PadR_family
fig|6666666.230262.peg.162	Name=Arsenate_reductase_(EC_1.20.4.1)
fig|6666666.230262.peg.163	Name=Arsenical-resistance_protein_ACR3
fig|6666666.230262.peg.164	Name=Arsenate_reductase_(EC_1.20.4.1)
fig|6666666.230262.peg.165	Name=Lactoylglutathione_lyase_(EC_4.4.1.5)
fig|6666666.230262.peg.166	Name=Transcriptional_regulator%2C_ArsR_family
fig|6666666.230262.peg.167	Name=Heavy_metal_sensor_histidine_kinase
fig|6666666.230262.peg.168	Name=DNA-binding_heavy_metal_response_regulator
fig|6666666.230262.peg.169	Name=Multicopper_oxidase
fig|6666666.230262.peg.170	Name=Copper_resistance_protein_B
fig|6666666.230262.peg.171	Name=CopG_protein
fig|6666666.230262.peg.172	Name=Asl7591_protein
fig|6666666.230262.peg.173	Name=Lead%2C_cadmium%2C_zinc_and_mercury_transporting_ATPase_(EC_3.6.3.3)_(EC_3.6.3.5)%3B_Copper-translocating_P-type_ATPase_(EC_3.6.3.4)
fig|6666666.230262.peg.174	Name=Copper_resistance_protein_CopC
fig|6666666.230262.peg.175	Name=hypothetical_protein
fig|6666666.230262.peg.176	Name=hypothetical_protein
fig|6666666.230262.peg.177	Name=LysR_family_transcriptional_regulator_YnfL
fig|6666666.230262.peg.178	Name=Mobile_element_protein
fig|6666666.230262.peg.179	Name=Mobile_element_protein
fig|6666666.230262.peg.180	Name=Heavy_metal_RND_efflux_outer_membrane_protein%2C_CzcC_family
fig|6666666.230262.peg.181	Name=Mobile_element_protein
fig|6666666.230262.peg.182	Name=Mobile_element_protein
fig|6666666.230262.peg.183	Name=CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_(EC_2.7.8.5)
fig|6666666.230262.peg.184	Name=Excinuclease_ABC_subunit_C
fig|6666666.230262.peg.185	Name=Alr1013_protein
fig|6666666.230262.peg.186	Name=Low_molecular_weight_protein_tyrosine_phosphatase_(EC_3.1.3.48)
fig|6666666.230262.peg.187	Name=3-deoxy-manno-octulosonate_cytidylyltransferase_(EC_2.7.7.38)
fig|6666666.230262.peg.188	Name=Tetraacyldisaccharide_4'-kinase_(EC_2.7.1.130)
fig|6666666.230262.peg.189	Name=Lipid_A_export_ATP-binding/permease_protein_MsbA_(EC_3.6.3.25)
fig|6666666.230262.peg.190	Name=Biopolymer_transport_protein_ExbD/TolR
fig|6666666.230262.peg.191	Name=Ferric_siderophore_transport_system%2C_biopolymer_transport_protein_ExbB
fig|6666666.230262.peg.192	Name=DNA_internalization-related_competence_protein_ComEC/Rec2
fig|6666666.230262.peg.193	Name=FIG01111625:_hypothetical_protein
fig|6666666.230262.peg.194	Name=two-component_response_regulator
fig|6666666.230262.peg.195	Name=MltA-interacting_protein_precursor
fig|6666666.230262.peg.196	Name=FIG01111124:_hypothetical_protein
fig|6666666.230262.peg.197	Name=hypothetical_protein
fig|6666666.230262.peg.198	Name=cytochrome_C_biogenesis_protein
fig|6666666.230262.peg.199	Name=FIG01112226:_hypothetical_protein
fig|6666666.230262.peg.200	Name=FIG01112039:_hypothetical_protein
fig|6666666.230262.peg.201	Name=Excinuclease_ABC_subunit_B
fig|6666666.230262.peg.202	Name=Type_IV_fimbrial_biogenesis_protein_FimT
fig|6666666.230262.peg.203	Name=Type_IV_pilus_biogenesis_protein_PilE
fig|6666666.230262.peg.204	Name=Type_IV_fimbrial_biogenesis_protein_PilY1
fig|6666666.230262.peg.205	Name=Type_IV_fimbrial_biogenesis_protein_PilX
fig|6666666.230262.peg.206	Name=Type_IV_fimbrial_biogenesis_protein_PilW
fig|6666666.230262.peg.207	Name=Type_IV_fimbrial_biogenesis_protein_PilV
fig|6666666.230262.peg.208	Name=Type_IV_fimbrial_biogenesis_protein_FimT
fig|6666666.230262.peg.209	Name=Decarboxylase_family_protein
fig|6666666.230262.peg.210	Name=Oar_protein
fig|6666666.230262.peg.211	Name=Short_chain_dehydrogenase
fig|6666666.230262.peg.212	Name=Glutaredoxin-related_protein
fig|6666666.230262.peg.213	Name=Superoxide_dismutase_[Fe]_(EC_1.15.1.1)
fig|6666666.230262.peg.214	Name=Possible_carboxymuconolactone_decarboxylase_family_protein_(EC_4.1.1.44)
fig|6666666.230262.peg.215	Name=Phosphoribosylaminoimidazole_carboxylase_ATPase_subunit_(EC_4.1.1.21)
fig|6666666.230262.peg.216	Name=Phosphoribosylaminoimidazole_carboxylase_catalytic_subunit_(EC_4.1.1.21)
fig|6666666.230262.peg.217	Name=FIG002473:_Protein_YcaR_in_KDO2-Lipid_A_biosynthesis_cluster
fig|6666666.230262.peg.218	Name=Quinolinate_phosphoribosyltransferase_[decarboxylating]_(EC_2.4.2.19)
fig|6666666.230262.peg.219	Name=FIG01111295:_hypothetical_protein
fig|6666666.230262.peg.220	Name=FIG01112064:_hypothetical_protein
fig|6666666.230262.peg.221	Name=Stringent_starvation_protein_B
fig|6666666.230262.peg.222	Name=Stringent_starvation_protein_A
fig|6666666.230262.peg.223	Name=ubiquinol_cytochrome_C_oxidoreductase%2C_cytochrome_C1_subunit
fig|6666666.230262.peg.224	Name=Ubiquinol--cytochrome_c_reductase%2C_cytochrome_B_subunit_(EC_1.10.2.2)
fig|6666666.230262.peg.225	Name=Ubiquinol-cytochrome_C_reductase_iron-sulfur_subunit_(EC_1.10.2.2)
fig|6666666.230262.peg.226	Name=soluble_lytic_murein_transglycosylase
fig|6666666.230262.peg.227	Name=putative_DeoR-family_transcriptional_regulator
fig|6666666.230262.peg.228	Name=Glutathione_S-transferase_(EC_2.5.1.18)
fig|6666666.230262.peg.229	Name=tRNA-i(6)A37_methylthiotransferase
fig|6666666.230262.peg.230	Name=ABC-type_multidrug_transport_system%2C_permease_component
fig|6666666.230262.peg.231	Name=ABC-type_multidrug_transport_system%2C_ATPase_component
fig|6666666.230262.peg.232	Name=Membrane-fusion_protein
fig|6666666.230262.peg.233	Name=Phosphate_starvation-inducible_protein_PhoH%2C_predicted_ATPase
fig|6666666.230262.peg.234	Name=Metal-dependent_hydrolase_YbeY%2C_involved_in_rRNA_and/or_ribosome_maturation_and_assembly
fig|6666666.230262.peg.235	Name=hypothetical_protein
fig|6666666.230262.peg.236	Name=FIG01111082:_hypothetical_protein
fig|6666666.230262.peg.237	Name=FIG01112253:_hypothetical_protein
fig|6666666.230262.peg.238	Name=Magnesium_and_cobalt_efflux_protein_CorC
fig|6666666.230262.peg.239	Name=FIG01111829:_hypothetical_protein
fig|6666666.230262.peg.240	Name=Magnesium_and_cobalt_transport_protein_CorA
fig|6666666.230262.peg.241	Name=Succinate-semialdehyde_dehydrogenase_[NAD]_(EC_1.2.1.24)%3B_Succinate-semialdehyde_dehydrogenase_[NAD(P)+]_(EC_1.2.1.16)
fig|6666666.230262.peg.242	Name=Putrescine_transport_system_permease_protein_PotI_(TC_3.A.1.11.2)
fig|6666666.230262.peg.243	Name=Putrescine_transport_system_permease_protein_PotH_(TC_3.A.1.11.2)
fig|6666666.230262.peg.244	Name=Putrescine_transport_ATP-binding_protein_PotG_(TC_3.A.1.11.2)
fig|6666666.230262.peg.245	Name=monooxygenase%2C_putative
fig|6666666.230262.peg.246	Name=Putrescine_ABC_transporter_putrescine-binding_protein_PotF_(TC_3.A.1.11.2)
fig|6666666.230262.peg.247	Name=glutamine_synthetase_family_protein
fig|6666666.230262.peg.248	Name=glutamine_amidotransferase
fig|6666666.230262.peg.249	Name=Oxidoreductase
fig|6666666.230262.peg.250	Name=sensor_kinase
fig|6666666.230262.peg.251	Name=sensor_kinase
fig|6666666.230262.peg.252	Name=Transcriptional_regulator
fig|6666666.230262.peg.253	Name=Hemerythrin-like_protein_PA1673
fig|6666666.230262.peg.254	Name=Major_facilitator_superfamily_(MFS_1)_transporter
fig|6666666.230262.peg.255	Name=FIG01110998:_hypothetical_protein
fig|6666666.230262.peg.256	Name=Aldehyde_dehydrogenase_(EC_1.2.1.3)
fig|6666666.230262.peg.257	Name=Omega-amino_acid--pyruvate_aminotransferase_(EC_2.6.1.18)
fig|6666666.230262.peg.258	Name=Plasmid_replication/partition_related_protein
fig|6666666.230262.peg.259	Name=probable_membrane_protein_STY4873
fig|6666666.230262.peg.260	Name=FIG024006:_iron_uptake_protein
fig|6666666.230262.peg.261	Name=FIG138928:_iron-regulated_membrane_protein
fig|6666666.230262.peg.262	Name=FIG016502:_iron_uptake_protein
fig|6666666.230262.peg.263	Name=23S_rRNA_(guanine-N-2-)_-methyltransferase_rlmL_EC_2.1.1.-)
fig|6666666.230262.peg.264	Name=FIG01112453:_hypothetical_protein
fig|6666666.230262.peg.265	Name=Negative_regulator_of_beta-lactamase_expression
fig|6666666.230262.peg.266	Name=Thiosulfate_sulfurtransferase%2C_rhodanese_(EC_2.8.1.1)
fig|6666666.230262.peg.267	Name=Hypothetical_nudix_hydrolase_YeaB
fig|6666666.230262.peg.268	Name=Macrophage_infectivity_potentiator
fig|6666666.230262.peg.269	Name=Enoyl-CoA_hydratase_(EC_4.2.1.17)
fig|6666666.230262.peg.270	Name=FIG01217687:_hypothetical_protein
fig|6666666.230262.peg.271	Name=Endonuclease_III_(EC_4.2.99.18)
fig|6666666.230262.peg.272	Name=Phosphate-specific_outer_membrane_porin_OprP_%3B_Pyrophosphate-specific_outer_membrane_porin_OprO
fig|6666666.230262.peg.273	Name=Phosphate_ABC_transporter%2C_periplasmic_phosphate-binding_protein_PstS_(TC_3.A.1.7.1)
fig|6666666.230262.peg.274	Name=Phosphate_ABC_transporter%2C_periplasmic_phosphate-binding_protein_PstS_(TC_3.A.1.7.1)
fig|6666666.230262.peg.275	Name=Phosphate_transport_system_permease_protein_PstC_(TC_3.A.1.7.1)
fig|6666666.230262.peg.276	Name=Phosphate_transport_system_permease_protein_PstA_(TC_3.A.1.7.1)
fig|6666666.230262.peg.277	Name=Phosphate_transport_ATP-binding_protein_PstB_(TC_3.A.1.7.1)
fig|6666666.230262.peg.278	Name=Phosphate_transport_system_regulatory_protein_PhoU
fig|6666666.230262.peg.279	Name=FIG024746:_hypothetical_protein
fig|6666666.230262.peg.280	Name=FIG023677:_hypothetical_protein
fig|6666666.230262.peg.281	Name=FIG005107:_hypothetical_protein
fig|6666666.230262.peg.282	Name=FIG035246:_DoxX_family_protein
fig|6666666.230262.peg.283	Name=Ribonuclease_T_(EC_3.1.13.-)
fig|6666666.230262.peg.284	Name=GGDEF_family_protein
fig|6666666.230262.peg.285	Name=Signal_transduction_histidine_kinase
fig|6666666.230262.peg.286	Name=Phosphate_regulon_transcriptional_regulatory_protein_PhoB_(SphR)
fig|6666666.230262.peg.287	Name=Macrolide-specific_efflux_protein_MacA
fig|6666666.230262.peg.288	Name=Macrolide_export_ATP-binding/permease_protein_MacB_(EC_3.6.3.-)
fig|6666666.230262.peg.289	Name=RND_efflux_system%2C_outer_membrane_lipoprotein_CmeC
fig|6666666.230262.peg.290	Name=23S_rRNA_(guanosine-2'-O-)_-methyltransferase_rlmB_(EC_2.1.1.-)
fig|6666666.230262.peg.291	Name=Gfa-like_protein
fig|6666666.230262.peg.292	Name=3'-to-5'_exoribonuclease_RNase_R
fig|6666666.230262.peg.293	Name=membrane_protein%2C_putative
fig|6666666.230262.peg.294	Name=Transcriptional_regulator
fig|6666666.230262.peg.295	Name=Inner_membrane_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.296	Name=Membrane_fusion_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.297	Name=Outer_membrane_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.298	Name=Transcriptional_regulator%2C_MarR_family
fig|6666666.230262.peg.299	Name=Transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.300	Name=Topoisomerase_IV_subunit_A_(EC_5.99.1.-)
fig|6666666.230262.peg.301	Name=Bacterioferritin
fig|6666666.230262.peg.302	Name=Penicillin_acylase_II
fig|6666666.230262.peg.303	Name=Na(+)/H(+)_antiporter
fig|6666666.230262.peg.304	Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)
fig|6666666.230262.peg.305	Name=N-succinyl-L%2CL-diaminopimelate_desuccinylase_(EC_3.5.1.18)
fig|6666666.230262.peg.306	Name=FIG138056:_a_glutathione-dependent_thiol_reductase
fig|6666666.230262.peg.307	Name=2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate_N-succinyltransferase_(EC_2.3.1.117)
fig|6666666.230262.peg.308	Name=[Protein-PII]_uridylyltransferase_(EC_2.7.7.59)
fig|6666666.230262.peg.309	Name=Methionine_aminopeptidase_(EC_3.4.11.18)
fig|6666666.230262.peg.310	Name=Sigma-fimbriae_tip_adhesin
fig|6666666.230262.peg.311	Name=Sigma-fimbriae_chaperone_protein
fig|6666666.230262.peg.312	Name=Sigma-fimbriae_usher_protein
fig|6666666.230262.peg.313	Name=Sigma-fimbriae_tip_adhesin
fig|6666666.230262.peg.314	Name=hypothetical_protein
fig|6666666.230262.peg.315	Name=Sigma-fimbriae_chaperone_protein
fig|6666666.230262.peg.316	Name=SSU_ribosomal_protein_S2p_(SAe)
fig|6666666.230262.peg.317	Name=Translation_elongation_factor_Ts
fig|6666666.230262.peg.318	Name=FIG01111683:_hypothetical_protein
fig|6666666.230262.peg.319	Name=Uridine_monophosphate_kinase_(EC_2.7.4.22)
fig|6666666.230262.peg.320	Name=Ribosome_recycling_factor
fig|6666666.230262.peg.321	Name=Undecaprenyl_diphosphate_synthase_(EC_2.5.1.31)
fig|6666666.230262.peg.322	Name=Phosphatidate_cytidylyltransferase_(EC_2.7.7.41)
fig|6666666.230262.peg.323	Name=1-deoxy-D-xylulose_5-phosphate_reductoisomerase_(EC_1.1.1.267)
fig|6666666.230262.peg.324	Name=Intramembrane_protease_RasP/YluC%2C_implicated_in_cell_division_based_on_FtsL_cleavage
fig|6666666.230262.peg.325	Name=Outer_membrane_protein_assembly_factor_YaeT_precursor
fig|6666666.230262.peg.326	Name=hypothetical_protein
fig|6666666.230262.peg.327	Name=UDP-3-O-[3-hydroxymyristoyl]_glucosamine_N-acyltransferase_(EC_2.3.1.-)
fig|6666666.230262.peg.328	Name=3-hydroxyacyl-[acyl-carrier-protein]_dehydratase%2C_FabZ_form_(EC_4.2.1.59)
fig|6666666.230262.peg.329	Name=Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine_O-acyltransferase_(EC_2.3.1.129)
fig|6666666.230262.peg.330	Name=Lipid-A-disaccharide_synthase_(EC_2.4.1.182)
fig|6666666.230262.peg.331	Name=Ribonuclease_HII_(EC_3.1.26.4)
fig|6666666.230262.peg.332	Name=DNA_polymerase_III_alpha_subunit_(EC_2.7.7.7)
fig|6666666.230262.peg.333	Name=FIG01112672:_hypothetical_protein
fig|6666666.230262.peg.334	Name=Acetyl-coenzyme_A_carboxyl_transferase_alpha_chain_(EC_6.4.1.2)
fig|6666666.230262.peg.335	Name=hypothetical_protein
fig|6666666.230262.peg.336	Name=Protoporphyrinogen_IX_oxidase%2C_novel_form%2C_HemJ_(EC_1.3.-.-)
fig|6666666.230262.peg.337	Name=FIG01112072:_hypothetical_protein
fig|6666666.230262.peg.338	Name=Intracellular_PHB_depolymerase_(EC_3.1.1.-)
fig|6666666.230262.peg.339	Name=sensor_protein
fig|6666666.230262.peg.340	Name=Transcriptional_regulator%2C_PadR_family
fig|6666666.230262.peg.341	Name=Peptidyl-prolyl_cis-trans_isomerase
fig|6666666.230262.peg.342	Name=Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily
fig|6666666.230262.peg.343	Name=Glycine_cleavage_system_transcriptional_activator
fig|6666666.230262.peg.344	Name=FIG01111643:_hypothetical_protein
fig|6666666.230262.peg.345	Name=FIG01111811:_hypothetical_protein
fig|6666666.230262.peg.346	Name=Gfa-like_protein
fig|6666666.230262.peg.347	Name=hypothetical_protein
fig|6666666.230262.peg.348	Name=Alginate_lyase_precursor_(EC_4.2.2.3)
fig|6666666.230262.peg.349	Name=Glucose-1-phosphatase_(EC_3.1.3.10)
