gene	logFC	logCPM	LR	PValue	FDR	Name
fig|6666666.230262.peg.1975	-1.077227804	4.583257109	8.395805756	0.003760878	0.018326346	Name=RNA_polymerase_sigma_factor_for_flagellar_operon
fig|6666666.230262.peg.2005	1.790961192	3.128550376	14.31777417	0.0001544	0.001276779	Name=hypothetical_protein
fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223	Name=Glutamate_5-kinase_(EC_2.7.2.11)_/_RNA-binding_C-terminal_domain_PUA
fig|6666666.230262.peg.2021	1.70578149	7.697815899	134.2516369	4.81E-31	8.02E-29	Name=FIG01111915:_hypothetical_protein
fig|6666666.230262.peg.2080	1.169947957	7.820361402	100.4120293	1.24E-23	1.31E-21	Name=FIG01112383:_hypothetical_protein
fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16	Name=SSU_ribosomal_protein_S21p
fig|6666666.230262.peg.2178	-1.229607973	5.031861435	13.92497177	0.000190254	0.001517827	Name=FIG01111989:_hypothetical_protein
fig|6666666.230262.peg.2180	-1.734946316	4.84598314	27.42838823	1.63E-07	2.81E-06	Name=FIG01111325:_hypothetical_protein
fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14	Name=Homogentisate_1%2C2-dioxygenase_(EC_1.13.11.5)
fig|6666666.230262.peg.2182	-1.034127519	9.033839867	100.5792957	1.14E-23	1.23E-21	Name=4-hydroxyphenylpyruvate_dioxygenase_(EC_1.13.11.27)
fig|6666666.230262.peg.2210	1.738079167	4.889362293	49.4655833	2.02E-12	7.11E-11	Name=INTEGRAL_MEMBRANE_PROTEIN_(Rhomboid_family)
fig|6666666.230262.peg.2320	1.002412436	3.66065795	7.616909661	0.005782349	0.025940441	Name=hypothetical_protein
fig|6666666.230262.peg.2330	-4.740108732	1.653900477	6.807054667	0.009079841	0.037107426	Name=hypothetical_protein
fig|6666666.230262.peg.2342	-4.733105883	1.995383707	6.852436094	0.008852049	0.036486277	Name=hypothetical_protein
fig|6666666.230262.peg.2378	1.047381124	5.487721228	29.33445963	6.09E-08	1.16E-06	Name=FIG01111283:_hypothetical_protein
fig|6666666.230262.peg.2379	1.679309695	2.911161587	8.052851237	0.00454321	0.021439198	Name=FIG01112849:_hypothetical_protein
fig|6666666.230262.peg.2508	-1.26854823	5.535102168	25.77158258	3.84E-07	6.19E-06	Name=Nucleoside_triphosphate_pyrophosphohydrolase_MazG_(EC_3.6.1.8)
fig|6666666.230262.peg.2514	-1.174346441	6.206115222	28.43377068	9.70E-08	1.77E-06	Name=Chemotaxis_response_regulator_containing_a_CheY-like_receiver_domain_and_a_methylesterase_domain
fig|6666666.230262.peg.2556	1.480667576	8.884030418	265.7401883	9.62E-60	6.95E-57	Name=Alkyl_hydroperoxide_reductase_protein_F_(EC_1.6.4.-)
fig|6666666.230262.peg.2557	1.957918626	11.31097897	465.0068639	3.91E-103	5.65E-100	Name=Alkyl_hydroperoxide_reductase_protein_C_(EC_1.6.4.-)
fig|6666666.230262.peg.2575	1.42971673	3.142803344	7.765688849	0.005324799	0.024386176	Name=hypothetical_protein
fig|6666666.230262.peg.260	1.176300929	3.944439185	11.02879436	0.000897075	0.00556072	Name=FIG024006:_iron_uptake_protein
fig|6666666.230262.peg.2609	-1.130168122	5.086986773	12.42089164	0.000424557	0.003029956	Name=Imidazole_glycerol_phosphate_synthase_cyclase_subunit_(EC_4.1.3.-)
fig|6666666.230262.peg.2613	-1.422069862	6.212593793	34.1171922	5.19E-09	1.24E-07	Name=Histidinol-phosphate_aminotransferase_(EC_2.6.1.9)
fig|6666666.230262.peg.2616	-1.199657926	7.063876218	27.2168154	1.82E-07	3.11E-06	Name=His_repressor
fig|6666666.230262.peg.2619	-1.070777822	4.5743401	9.425448641	0.002139947	0.011402524	Name=Uncharacterized_iron-regulated_membrane_protein%3B_Iron-uptake_factor_PiuB
fig|6666666.230262.peg.2649	-4.880294564	1.858543548	7.616582115	0.0057834	0.025940441	Name=FIG01113046:_hypothetical_protein
fig|6666666.230262.peg.2705	1.092139091	3.909199207	9.361866988	0.002215464	0.01174711	Name=Pirin
fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11	Name=Carbon_storage_regulator
fig|6666666.230262.peg.2729	1.107010168	7.794672953	110.7934903	6.57E-26	8.13E-24	Name=SOS-response_repressor_and_protease_LexA_(EC_3.4.21.88)
fig|6666666.230262.peg.2818	-1.268937691	4.53464235	11.00111914	0.000910569	0.005635121	Name=Putative_Holliday_junction_resolvase_YggF
fig|6666666.230262.peg.2851	1.275788784	6.468374824	69.08325512	9.44E-17	5.11E-15	Name=FIG01111603:_hypothetical_protein
fig|6666666.230262.peg.2852	1.349672732	8.815339642	162.8241709	2.73E-37	8.46E-35	Name=FIG01112657:_hypothetical_protein
fig|6666666.230262.peg.2881	-1.034191393	5.451733314	19.36002314	1.08E-05	0.00011902	Name=Para-aminobenzoate_synthase%2C_aminase_component_(EC_2.6.1.85)
fig|6666666.230262.peg.2913	1.27489509	7.428094213	115.5138578	6.07E-27	7.97E-25	Name=Quaternary_ammonium_compound-resistance_protein_SugE
fig|6666666.230262.peg.2923	-1.05884297	5.649691993	21.00530267	4.58E-06	5.69E-05	Name=FIG005121:_SAM-dependent_methyltransferase_(EC_2.1.1.-)
fig|6666666.230262.peg.295	1.529420233	7.288530559	133.8219092	5.98E-31	9.25E-29	Name=Inner_membrane_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.296	1.450379595	5.749397341	72.58606842	1.60E-17	9.90E-16	Name=Membrane_fusion_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.297	1.276455598	5.036914775	33.75265341	6.26E-09	1.46E-07	Name=Outer_membrane_component_of_tripartite_multidrug_resistance_system
fig|6666666.230262.peg.298	2.619304413	6.490789357	232.6896459	1.54E-52	9.56E-50	Name=Transcriptional_regulator%2C_MarR_family
fig|6666666.230262.peg.299	1.803993979	8.523583006	291.5659441	2.27E-65	2.45E-62	Name=Transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.2991	-1.004665382	5.444946665	14.14607404	0.00016915	0.00138256	Name=transcriptional_regulator%2C_TetR_family
fig|6666666.230262.peg.3002	-2.268413546	2.856013358	7.655183219	0.005660944	0.025598341	Name=FIG01111286:_hypothetical_protein
fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915	Name=Ketol-acid_reductoisomerase_(EC_1.1.1.86)
fig|6666666.230262.peg.3030	-1.007276443	4.158062357	6.911746283	0.008563132	0.035634474	Name=2-isopropylmalate_synthase_(EC_2.3.3.13)
fig|6666666.230262.peg.3064	-1.02291079	4.192339126	6.22553271	0.012592102	0.048145618	Name=predicted_N-acetylglucosamine_kinase%2C_glucokinase-like_(EC_2.7.1.59)
fig|6666666.230262.peg.3084	1.154779219	6.308678869	43.15109791	5.07E-11	1.55E-09	Name=Type_I_secretion_system%2C_outer_membrane_component_LapE
fig|6666666.230262.peg.3122	-1.725482021	5.55816652	34.75323741	3.74E-09	9.16E-08	Name=FIG01111149:_hypothetical_protein
fig|6666666.230262.peg.3123	-1.679876554	8.139234991	161.1293768	6.41E-37	1.85E-34	Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB
fig|6666666.230262.peg.3124	-1.652378956	6.913608066	76.16585859	2.61E-18	1.71E-16	Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump
fig|6666666.230262.peg.3141	-1.465194685	4.054694052	9.568212056	0.001979755	0.010721839	Name=Fructokinase_(EC_2.7.1.4)
fig|6666666.230262.peg.3144	-1.018751504	7.700705562	55.93491379	7.49E-14	3.12E-12	Name=Alpha-1%2C2-mannosidase
fig|6666666.230262.peg.3166	-1.286386291	6.59862325	62.60812841	2.52E-15	1.17E-13	Name=Acetolactate_synthase_large_subunit_(EC_2.2.1.6)
fig|6666666.230262.peg.3167	-2.174584632	6.69819198	159.673086	1.33E-36	3.61E-34	Name=Succinate-semialdehyde_dehydrogenase_[NAD]_(EC_1.2.1.24)%3B_Succinate-semialdehyde_dehydrogenase_[NAD(P)+]_(EC_1.2.1.16)
fig|6666666.230262.peg.3173	-1.193553815	4.458141012	6.420072579	0.011283755	0.04407685	Name=Cob(I)alamin_adenosyltransferase_(EC_2.5.1.17)
fig|6666666.230262.peg.3191	1.346717564	6.062592069	63.32824744	1.75E-15	8.24E-14	Name=FIG01111427:_hypothetical_protein
fig|6666666.230262.peg.3284	1.31705873	7.442157957	126.5439239	2.34E-29	3.49E-27	Name=Phosphoglycerol_transferase_I_(EC_2.7.8.20)
fig|6666666.230262.peg.3316	1.508898822	10.2771314	269.8610112	1.22E-60	1.05E-57	Name=Thermostable_8-oxoguanine_DNA_glycosylase
fig|6666666.230262.peg.3361	-1.073145393	6.111179204	30.37279098	3.56E-08	7.15E-07	Name=Heavy_metal_RND_efflux_outer_membrane_protein%2C_CzcC_family
fig|6666666.230262.peg.3362	-1.195440196	7.573487791	85.24875782	2.63E-20	2.07E-18	Name=Cobalt-zinc-cadmium_resistance_protein_CzcD
fig|6666666.230262.peg.3364	1.043376455	10.89893561	96.59528679	8.51E-23	8.40E-21	Name=Phage_integrase
fig|6666666.230262.peg.3397	2.401699175	2.574024931	13.1593173	0.000286093	0.002147929	Name=hypothetical_protein
fig|6666666.230262.peg.3404	1.824511518	4.992133025	37.78311052	7.91E-10	2.10E-08	Name=Galactosamine-6-phosphate_isomerase_(EC_5.3.1.-)
fig|6666666.230262.peg.3418	1.773109725	5.102608663	67.51257401	2.09E-16	1.08E-14	Name=chloride_channel
fig|6666666.230262.peg.3428	1.03929657	6.227264808	47.6124149	5.19E-12	1.74E-10	Name=RND_efflux_system%2C_outer_membrane_lipoprotein_CmeC
fig|6666666.230262.peg.3429	1.733445198	6.872084746	167.863342	2.17E-38	8.53E-36	Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB
fig|6666666.230262.peg.343	-1.309191815	3.689451141	6.834851124	0.008939614	0.036699423	Name=Glycine_cleavage_system_transcriptional_activator
fig|6666666.230262.peg.3430	1.769409984	4.133022449	38.59361437	5.22E-10	1.41E-08	Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump
fig|6666666.230262.peg.3431	1.44232868	6.460981139	85.06749404	2.88E-20	2.23E-18	Name=Sensory_histidine_kinase_BaeS
fig|6666666.230262.peg.3432	1.342988861	2.887960907	7.242124868	0.007121265	0.030574154	Name=Response_regulator_BaeR
fig|6666666.230262.peg.3457	-1.21431118	4.672151245	12.8128238	0.000344252	0.002502178	Name=Methylglutaconyl-CoA_hydratase_(EC_4.2.1.18)
fig|6666666.230262.peg.3464	-1.000918351	4.386326118	7.257506172	0.007060527	0.030434032	Name=3-oxoacyl-[acyl-carrier_protein]_reductase_(EC_1.1.1.100)
fig|6666666.230262.peg.3465	-1.3912382	4.989913478	16.35998409	5.24E-05	0.000489026	Name=4-hydroxy-tetrahydrodipicolinate_reductase_(EC_1.17.1.8)
fig|6666666.230262.peg.3519	-1.769150339	3.958049557	12.8632494	0.000335098	0.002454369	Name=putative%3B_ORF_located_using_Glimmer/Genemark
fig|6666666.230262.peg.3627	1.105646989	6.530508431	54.21365753	1.80E-13	7.21E-12	Name=Interferon-induced_transmembrane_protein
fig|6666666.230262.peg.3709	1.473259998	4.756103533	27.98751082	1.22E-07	2.17E-06	Name=Sulfate_permease
fig|6666666.230262.peg.374	1.043664122	10.64315294	96.5889822	8.53E-23	8.40E-21	Name=FIG01217340:_hypothetical_protein
fig|6666666.230262.peg.382	-1.085666219	7.806541727	57.13798015	4.06E-14	1.73E-12	Name=FIG01111224:_hypothetical_protein
fig|6666666.230262.peg.3835	-1.212937451	6.371657107	36.80032503	1.31E-09	3.35E-08	Name=RNA-2'%2C3'-PO4:RNA-5'-OH_ligase
fig|6666666.230262.peg.386	-1.812283452	3.234836438	8.018005185	0.004631456	0.021760809	Name=Two-component_response_regulator_CreB
fig|6666666.230262.peg.3890	1.096817736	6.548467513	54.55114061	1.51E-13	6.19E-12	Name=FIG01112121:_hypothetical_protein
fig|6666666.230262.peg.3898	-1.080022111	5.513531353	13.50679231	0.000237702	0.001848695	Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump
fig|6666666.230262.peg.3914	1.733337889	6.323516541	140.1252608	2.50E-32	4.92E-30	Name=FIG01111128:_hypothetical_protein
fig|6666666.230262.peg.4003	1.058234423	9.790839601	136.1951732	1.81E-31	3.26E-29	Name=Radical_SAM_domain_protein
fig|6666666.230262.peg.4004	1.453991344	9.659031473	162.9950763	2.51E-37	8.36E-35	Name=Radical_SAM_domain_protein
fig|6666666.230262.peg.4085	-1.136251514	7.79611655	75.66741627	3.36E-18	2.17E-16	Name=Phosphate-specific_outer_membrane_porin_OprP_%3B_Pyrophosphate-specific_outer_membrane_porin_OprO
fig|6666666.230262.peg.4130	-5.783688486	2.238977785	14.54398629	0.000136925	0.001156256	Name=Methyl-accepting_chemotaxis_protein_I_(serine_chemoreceptor_protein)
fig|6666666.230262.peg.4155	1.11465693	5.194021305	24.00196994	9.62E-07	1.42E-05	Name=DNA_primase/helicase%2C_phage-associated
fig|6666666.230262.peg.4163	1.51563	5.196247129	52.84754939	3.60E-13	1.38E-11	Name=Sigma-fimbriae_tip_adhesin
fig|6666666.230262.peg.4164	2.447838722	2.449433319	15.4311043	8.56E-05	0.000761153	Name=Sigma-fimbriae_chaperone_protein
fig|6666666.230262.peg.4200	1.343866095	3.08428467	7.03507598	0.007992848	0.033681925	Name=hypothetical_protein
fig|6666666.230262.peg.4207	1.278505563	8.035288072	133.9826687	5.51E-31	8.84E-29	Name=hypothetical_protein
fig|6666666.230262.peg.4208	2.268521898	8.638810701	535.944788	1.44E-118	3.11E-115	Name=hypothetical_protein
fig|6666666.230262.peg.4209	1.347734518	6.568275584	71.72640336	2.47E-17	1.46E-15	Name=hypothetical_protein
fig|6666666.230262.peg.4210	1.224413523	4.615813853	10.2624322	0.001357666	0.007905118	Name=hypothetical_protein
fig|6666666.230262.peg.4280	-1.266230145	4.582338745	12.60916613	0.00038386	0.00276226	Name=Pathogenicity-related_protein
fig|6666666.230262.peg.4282	1.156680472	3.348331971	6.603168922	0.010179743	0.040617175	Name=FIG01112189:_hypothetical_protein
fig|6666666.230262.peg.4308	3.389768653	6.825868292	556.4984685	4.86E-123	2.10E-119	Name=Transporter%2C_LysE_family
fig|6666666.230262.peg.4311	-1.379726745	6.964778991	52.8463254	3.61E-13	1.38E-11	Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases
fig|6666666.230262.peg.4312	-1.567099902	4.698251168	19.85414533	8.36E-06	9.53E-05	Name=hypothetical_protein
fig|6666666.230262.peg.4374	1.024711541	4.900867139	14.01016468	0.000181825	0.001469526	Name=Predicted_maltose_transporter_MalT
fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17	Name=DNA_repair_protein_RadA
fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10	Name=FIGfam138462:_Acyl-CoA_synthetase%2C_AMP-(fatty)_acid_ligase_/_(3R)-hydroxymyristoyl-[ACP]_dehydratase_(EC_4.2.1.-)
fig|6666666.230262.peg.517	-1.091359997	5.16790472	16.98974742	3.76E-05	0.000362597	Name=3-oxoacyl-[ACP]_synthase
fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343	Name=putative_Cytochrome_bd2%2C_subunit_II
fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23	Name=putative_Cytochrome_bd2%2C_subunit_I
fig|6666666.230262.peg.555	1.52044453	6.946153003	154.1123617	2.19E-35	5.58E-33	Name=FIG01111166:_hypothetical_protein
fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20	Name=dTDP-glucose_4%2C6-dehydratase_(EC_4.2.1.46)
fig|6666666.230262.peg.593	1.830119368	6.976692692	167.3379284	2.82E-38	1.02E-35	Name=Inner_membrane_protein
fig|6666666.230262.peg.594	1.477931769	6.583738573	115.7837981	5.30E-27	7.18E-25	Name=FIG01110967:_hypothetical_protein
fig|6666666.230262.peg.595	1.06951363	6.821721188	68.05275019	1.59E-16	8.41E-15	Name=FIG01112209:_hypothetical_protein
fig|6666666.230262.peg.599	1.191148518	6.131253308	46.59191642	8.74E-12	2.89E-10	Name=Glyoxalase/bleomycin_resistance_protein/dioxygenase
fig|6666666.230262.peg.609	1.348573279	9.04187951	148.7002305	3.33E-34	7.60E-32	Name=RNA_polymerase_sigma_factor_RpoE
fig|6666666.230262.peg.670	-1.064646173	4.268190951	6.672854657	0.009789227	0.039375053	Name=Regulatory_sensor-transducer%2C_BlaR1/MecR1_family
fig|6666666.230262.peg.679	-1.310057956	4.267508862	8.994049846	0.002708601	0.013885986	Name=FIG037995:_Hypothetical_protein
fig|6666666.230262.peg.690	1.978127643	5.37422858	107.728184	3.08E-25	3.51E-23	Name=Transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.691	1.139786883	5.254435165	31.38001948	2.12E-08	4.51E-07	Name=hypothetical_protein
fig|6666666.230262.peg.694	1.35330463	6.271598682	84.23739301	4.39E-20	3.28E-18	Name=L-lactate_permease
fig|6666666.230262.peg.709	-1.306346906	4.65547354	11.8186648	0.000586399	0.003926245	Name=Transcriptional_regulator%2C_LysR_family
fig|6666666.230262.peg.764	-1.108590276	4.453351011	9.768882616	0.001774903	0.009745094	Name=FIG01111801:_hypothetical_protein
fig|6666666.230262.peg.766	2.126954978	2.844990284	19.81814011	8.52E-06	9.66E-05	Name=hypothetical_protein
fig|6666666.230262.peg.79	-1.301045503	5.351636552	22.70106598	1.89E-06	2.64E-05	Name=ABC_transporter%2C_ATP-binding_protein
fig|6666666.230262.peg.794	-1.386150611	3.879666929	8.934934576	0.002797675	0.014291896	Name=FIG01111179:_hypothetical_protein
fig|6666666.230262.peg.800	-1.176399065	8.700818205	118.6414521	1.25E-27	1.75E-25	Name=FIG01111702:_hypothetical_protein
fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)
fig|6666666.230262.peg.851	1.42137181	3.862298649	19.08260899	1.25E-05	0.000135232	Name=hypothetical_protein
fig|6666666.230262.peg.873	2.520896636	4.708384983	90.97025751	1.46E-21	1.24E-19	Name=Transcriptional_regulator%2C_MarR_family
fig|6666666.230262.peg.875	1.161922259	4.692673771	20.92260968	4.78E-06	5.84E-05	Name=FIG01111074:_hypothetical_protein
fig|6666666.230262.peg.924	-1.125737935	5.728577968	18.61503936	1.60E-05	0.000167843	Name=Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily
fig|6666666.230262.peg.925	-1.730881064	7.834529366	138.4485649	5.81E-32	1.10E-29	Name=FIG01111448:_hypothetical_protein
fig|6666666.230262.peg.926	-1.245966354	9.234158402	124.4818977	6.61E-29	9.54E-27	Name=TonB-dependent_receptor
fig|6666666.230262.peg.961	-1.01935853	5.639680348	17.44310125	2.96E-05	0.000292125	Name=conserved_hypothetical_protein-transmembrane_prediction
fig|6666666.230262.peg.972	-1.101360275	4.308353991	9.0631611	0.002608107	0.013491702	Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases
